,year,artist,song,points,duration
426,2016,Tory Lanez,LA Confidential,4842,174.093
427,2016,Beyonce,All Night,4845,197.64
428,2016,JR Castro Featuring Kid Ink & Migos,Get Home,4850,166.377
429,2016,Bruno Mars,24K Magic,4856,225.983
430,2016,August Alsina,Song Cry,4864,302.36
431,2016,The Weeknd,Can't Feel My Face,4867,213.52
432,2016,The Weeknd,Party Monster,4868,249.213
433,2016,The Weeknd Featuring Daft Punk,I Feel It Coming,4869,269.186
434,2016,Childish Gambino,Me And Your Mama,4912,379.226
435,2016,Rihanna,Sledgehammer,4916,311.986
436,2016,Frank Ocean,Nights,4919,307.151
437,2016,Beyonce Featuring Kendrick Lamar,Freedom,4926,212.72
438,2016,Beyonce,Pray You Catch Me,4930,195.986
439,2016,Beyonce,Daddy Lessons,4930,287.986
440,2016,Rihanna,Same Ol' Mistakes,4935,397.093
441,2016,Rihanna,Woo,4937,235.586
442,2016,Bryson Tiller,For However Long,4944,124.853
443,2016,The Weeknd,Reminder,4975,218.88
444,2016,The Weeknd Featuring Kendrick Lamar,Sidewalks,4976,231.36
445,2016,Childish Gambino,Redbone,4977,326.933
446,2016,The Weeknd,Six Feet Under,4979,189.613
447,2016,The Weeknd & Ariana Grande,Die For You,4987,260.253
448,2016,The Weeknd,Secrets,4990,133.331
449,2016,The Weeknd,True Colors,4993,227.6
450,2016,The Weeknd,Rockin',4994,221.92
451,2016,The Weeknd Featuring Future,All I Know,4999,321.026
452,2016,Bruno Mars,That's What I Like,5002,206.693
453,2016,Solange Featuring Lil Wayne,Mad,5010,134.256
454,2017,Bruno Mars,That's What I Like,1048,206.693
