,year,artist,song,points,duration
160,1959,Ray Charles and his Orchestra,What'd I Say (Part I & II),4172,304.026
161,1959,The McGuire Sisters,May You Always,4178,178.066
162,1959,Guy Mitchell,Heartaches By The Number,4178,154.295
163,1959,Duane Eddy And The Rebels,Forty Miles Of Bad Road,4183,130.6
164,1959,Connie Francis,My Happiness,4184,276.626
165,1959,The Platters,Smoke Gets In Your Eyes,4193,160.933
166,1959,Billy Grammer,Gotta Travel On,4200,150.493
167,1959,Ivo Robic and The Song-Masters,Morgen,4204,189.01
168,1959,Conway Twitty,Danny Boy,4209,106.48
169,1959,Freddy Cannon,Tallahassee Lassie,4212,132.893
170,1959,Frankie Ford,Sea Cruise,4213,167.093
171,1959,Fabian,Tiger,4223,203.546
172,1959,The Mormon Tabernacle Choir,Battle Hymn Of The Republic,4224,96.631
173,1959,Annette With The Afterbeats,Tall Paul,4225,97.08
174,1959,Chris Barber's Jazz Band,Petite Fleur (Little Flower),4230,179.094
175,1959,Paul Anka,(All of a Sudden) My Heart Sings,4234,164.066
176,1959,Jack Scott,Goodbye Baby,4238,151.682
177,1959,Edward Byrnes & Connie Stevens,"Kookie, Kookie (Lend Me Your Comb)",4247,127.133
178,1959,Fabian,Turn Me Loose,4254,337.933
179,1959,The Platters,Enchanted,4255,352.186
180,1959,Elvis Presley With The Jordanaires,I Need Your Love Tonight,4269,124.626
181,1959,Fats Domino,I Want To Walk You Home,4273,141.662
182,1959,Skip And Flip,It Was I,4278,260.0
183,1959,Frankie Avalon,Bobby Sox To Stockings,4281,159.948
184,1959,Fireflies,You Were Mine,4285,217.807
185,1959,Johnny Mathis,Misty,4286,224.445
186,1959,The Flamingos,I Only Have Eyes For You,4293,202.773
187,1959,Bobby Rydell,We Got Love,4298,213.04
188,1959,Dee Clark,Just Keep It Up,4302,132.023
189,1959,Nina Simone,"I Loves You, Porgy",4315,210.292
190,1959,Reg Owen & His Orchestra,Manhattan Spiritual,4315,165.0
191,1959,Bobby Rydell,Kissin' Time,4317,232.573
192,1959,Brook Benton,So Many Ways,4322,204.933
193,1959,Neil Sedaka,Oh! Carol,4327,212.568
194,1959,Bob Beckham,Just As Much As Ever,4328,139.666
195,1959,Brook Benton,Thank You Pretty Baby,4332,197.933
196,1959,Clyde McPhatter,A Lover's Question,4332,150.266
197,1959,Ricky Nelson,It's Late,4335,366.156
198,1959,Travis & Bob,Tell Him No,4345,199.986
199,1959,Kathy Linden,"Goodbye Jimmy, Goodbye",4347,169.493
